SKU_ID,Warehouse_ID,Forecast_Model,Demand_Forecast_AI,Forecast_Daily_Rate,Forecast_MAPE_Pct,Forecast_WAPE_Daily_Pct,Forecast_Bias_Pct,Forecast_Sigma_Daily,Avg_Daily_Demand,Demand_Std_Dev,Units_Sold_YTD,Zero_Day_Share,Is_Intermittent
SKU-0121,WH-SIN-01,combination,318,10.59,14.6,40.1,-14.6,6.657,11.778,6.83,2982,0.008,0
SKU-0122,WH-SIN-01,combination,664,22.143,11.0,31.4,-11.0,10.388,23.504,14.455,5644,0.0,0
SKU-0123,WH-SIN-01,combination,281,9.382,38.5,49.7,-38.5,4.564,6.397,4.786,1519,0.014,0
SKU-0124,WH-SIN-01,combination,198,6.608,0.6,50.6,0.6,4.431,7.181,5.626,1709,0.036,0
SKU-0125,WH-SIN-01,combination,4000,133.335,6.4,30.1,6.4,70.618,132.03,65.477,35645,0.0,0
SKU-0126,WH-SIN-01,seasonal_index,268,8.947,31.0,50.3,-31.0,5.211,9.266,5.246,2142,0.0,0
SKU-0127,WH-SIN-01,seasonal_index,75,2.49,41.7,78.9,41.7,2.685,2.844,2.86,695,0.205,0
SKU-0128,WH-SIN-01,combination,568,18.942,24.6,36.6,24.6,13.798,23.353,12.37,6506,0.0,0
SKU-0129,WH-SIN-01,combination,1769,58.951,1.5,38.5,1.5,34.435,72.984,35.099,18295,0.0,0
SKU-0130,WH-SIN-01,seasonal_index,179,5.96,4.6,68.0,4.6,4.456,6.444,4.951,1577,0.047,0
SKU-0131,WH-SIN-01,snaive,2235,74.508,26.7,46.3,-26.7,40.568,91.753,58.264,18982,0.0,0
SKU-0132,WH-SIN-01,combination,893,29.761,1.4,42.3,1.4,14.394,25.619,18.93,5130,0.0,0
SKU-0133,WH-SIN-01,combination,537,17.887,15.4,56.2,-15.4,13.941,15.121,11.703,3837,0.008,0
SKU-0134,WH-SIN-01,seasonal_index,403,13.438,35.4,77.2,35.4,14.595,16.49,13.26,4216,0.008,0
SKU-0135,WH-SIN-01,combination,2841,94.685,8.7,43.2,-8.7,52.544,90.981,58.92,20985,0.0,0
SKU-0136,WH-SIN-01,combination,346,11.546,20.9,51.2,20.9,8.01,17.419,11.734,4160,0.0,0
SKU-0137,WH-SIN-01,combination,52,1.732,0.0,64.5,0.0,1.336,1.967,2.028,399,0.244,0
SKU-0138,WH-SIN-01,combination,4036,134.537,3.1,32.4,-3.1,48.677,113.814,59.431,24911,0.0,0
SKU-0139,WH-SIN-01,holt_winters,1095,36.491,2.6,34.0,-2.6,16.251,36.748,18.291,9341,0.0,0
SKU-0140,WH-SIN-01,seasonal_index,900,29.997,9.6,46.2,9.6,13.948,33.688,19.214,7905,0.0,0
SKU-0141,WH-SIN-01,combination,1333,44.443,12.3,33.9,-12.3,16.446,46.321,22.58,10355,0.0,0
SKU-0142,WH-SIN-01,seasonal_index,92,3.077,6.5,62.5,-6.5,2.692,3.781,2.867,971,0.066,0
SKU-0143,WH-SIN-01,combination,109,3.63,11.8,53.6,11.8,2.391,2.866,2.534,623,0.151,0
SKU-0144,WH-SIN-01,seasonal_index,38,1.259,5.9,74.4,-5.9,1.515,1.455,1.449,372,0.293,0
SKU-0145,WH-SIN-01,seasonal_index,164,5.473,28.4,61.6,28.4,4.855,5.507,4.242,1381,0.016,0
SKU-0146,WH-SIN-01,seasonal_index,503,16.773,12.0,63.4,12.0,16.059,18.036,16.899,4143,0.011,0
SKU-0147,WH-SIN-01,holt_winters,491,16.352,4.8,37.5,4.8,8.867,15.858,10.234,3829,0.011,0
SKU-0148,WH-SIN-01,seasonal_index,502,16.721,1.0,49.7,-1.0,12.8,17.781,12.731,4507,0.003,0
SKU-0149,WH-SIN-01,seasonal_index,86,2.876,4.2,52.8,-4.2,2.583,2.762,2.358,685,0.151,0
SKU-0150,WH-SIN-01,combination,75,2.484,10.1,56.9,-10.1,1.566,2.37,1.953,521,0.115,0
SKU-0151,WH-SIN-01,combination,1778,59.274,16.0,52.3,16.0,40.795,56.175,38.216,14510,0.0,0
SKU-0152,WH-SIN-01,seasonal_index,677,22.562,29.9,49.4,29.9,13.223,26.737,15.8,6341,0.0,0
SKU-0153,WH-SIN-01,combination,1329,44.308,3.7,23.2,-3.7,16.562,45.622,22.652,10106,0.0,0
SKU-0154,WH-SIN-01,combination,1115,37.162,0.7,41.8,-0.7,26.521,42.871,29.882,10407,0.0,0
SKU-0155,WH-SIN-01,combination,993,33.104,1.8,43.1,1.8,21.496,31.447,26.826,6824,0.003,0
SKU-0156,WH-SIN-01,combination,494,16.479,7.6,38.3,-7.6,7.742,15.8,10.561,3414,0.0,0
SKU-0157,WH-SIN-01,holt_winters,303,10.102,14.4,47.9,14.4,8.322,12.948,10.729,3164,0.033,0
SKU-0158,WH-SIN-01,holt_winters,916,30.518,15.1,42.8,-15.1,14.615,20.647,14.902,5451,0.0,0
SKU-0159,WH-SIN-01,combination,444,14.791,2.2,45.0,-2.2,8.682,14.967,9.538,3536,0.0,0
SKU-0160,WH-SIN-01,combination,1193,39.765,11.4,40.2,-11.4,23.282,40.011,21.415,10079,0.0,0
SKU-0161,WH-SIN-01,seasonal_index,876,29.191,17.9,41.8,17.9,22.388,40.222,26.304,9946,0.003,0
SKU-0162,WH-SIN-01,combination,1310,43.679,17.0,34.7,-17.0,18.23,36.584,27.982,7433,0.003,0
SKU-0163,WH-SIN-01,combination,203,6.772,21.7,57.3,-21.7,4.483,5.871,4.536,1427,0.096,0
SKU-0164,WH-SIN-01,combination,1705,56.819,9.5,46.4,9.5,26.805,52.11,31.746,11489,0.0,0
SKU-0165,WH-SIN-01,snaive,358,11.917,3.5,60.8,-3.5,8.257,11.008,7.469,2527,0.003,0
SKU-0166,WH-SIN-01,seasonal_index,263,8.769,21.5,57.3,-21.5,5.865,7.455,6.292,1754,0.068,0
SKU-0167,WH-SIN-01,combination,5566,185.534,1.4,31.1,1.4,106.757,184.31,95.731,47369,0.0,0
SKU-0168,WH-SIN-01,combination,160,5.318,13.7,39.0,-13.7,2.961,5.164,3.188,1237,0.022,0
SKU-0169,WH-SIN-01,combination,72,2.401,10.1,67.3,-10.1,1.774,1.825,1.941,471,0.282,0
SKU-0170,WH-SIN-01,combination,81,2.686,32.1,58.4,32.1,2.639,2.942,2.434,828,0.107,0
SKU-0171,WH-SIN-01,combination,24,0.804,63.4,142.1,63.4,1.359,1.11,1.356,280,0.419,1
SKU-0172,WH-SIN-01,combination,206,6.868,2.2,52.2,2.2,4.228,6.29,4.135,1459,0.027,0
SKU-0173,WH-SIN-01,combination,778,25.933,29.1,56.2,29.1,20.508,26.337,19.901,6577,0.003,0
SKU-0174,WH-SIN-01,combination,228,7.596,7.0,40.4,7.0,4.734,7.485,5.217,2152,0.016,0
SKU-0175,WH-SIN-01,combination,909,30.307,18.5,49.4,18.5,18.306,27.378,17.189,7229,0.0,0
SKU-0176,WH-SIN-01,combination,3022,100.74,16.7,33.7,-16.7,38.797,89.049,51.313,18702,0.0,0
SKU-0177,WH-SIN-01,seasonal_index,2277,75.894,6.2,46.3,6.2,59.716,107.038,62.444,27241,0.0,0
SKU-0178,WH-SIN-01,combination,386,12.853,11.0,40.0,11.0,12.961,19.742,12.7,5479,0.0,0
SKU-0179,WH-SIN-01,combination,5490,182.986,7.1,37.3,-7.1,82.944,168.447,83.984,38768,0.0,0
SKU-0180,WH-SIN-01,combination,2114,70.474,10.5,42.9,-10.5,34.771,62.433,34.881,14883,0.0,0
SKU-0181,WH-SIN-01,combination,457,15.246,12.8,39.0,-12.8,7.586,14.247,10.867,3163,0.0,0
SKU-0182,WH-SIN-01,combination,456,15.212,48.2,58.3,48.2,9.409,15.189,9.026,3638,0.003,0
SKU-0183,WH-SIN-01,combination,128,4.253,27.7,51.2,-27.7,2.328,3.159,2.322,762,0.099,0
SKU-0184,WH-SIN-01,combination,130,4.344,23.1,52.8,23.1,4.261,4.373,3.841,1088,0.11,0
SKU-0185,WH-SIN-01,seasonal_index,902,30.077,20.5,73.5,20.5,19.483,28.216,19.221,6916,0.0,0
SKU-0186,WH-SIN-01,seasonal_index,447,14.91,18.2,45.7,18.2,8.033,15.91,9.301,3754,0.0,0
SKU-0187,WH-SIN-01,combination,2827,94.235,0.7,36.2,-0.7,58.031,93.91,63.855,23432,0.0,0
SKU-0188,WH-SIN-01,combination,191,6.373,2.2,53.8,-2.2,4.573,5.871,4.154,1622,0.038,0
SKU-0189,WH-SIN-01,combination,2495,83.179,10.3,60.9,-10.3,53.439,76.803,50.134,18903,0.0,0
SKU-0190,WH-SIN-01,holt_winters,64,2.132,54.5,99.5,54.5,2.349,2.323,2.393,614,0.247,0
SKU-0191,WH-SIN-01,combination,771,25.715,1.9,38.6,-1.9,18.082,24.197,16.675,7041,0.003,0
SKU-0192,WH-SIN-01,seasonal_index,148,4.937,17.7,68.6,17.7,5.987,6.512,5.861,1484,0.099,0
SKU-0193,WH-SIN-01,combination,66,2.214,5.3,61.3,-5.3,1.559,2.071,1.877,415,0.195,0
SKU-0194,WH-SIN-01,combination,3081,102.702,25.5,33.0,25.5,58.288,113.753,57.697,27104,0.0,0
SKU-0195,WH-SIN-01,seasonal_index,541,18.036,12.3,31.7,-12.3,7.897,14.751,9.176,3394,0.0,0
SKU-0196,WH-SIN-01,combination,245,8.161,5.0,52.5,-5.0,6.331,7.644,5.249,2068,0.005,0
SKU-0197,WH-SIN-01,combination,70,2.343,36.6,62.7,-36.6,1.559,1.986,1.769,459,0.208,0
SKU-0198,WH-SIN-01,combination,515,17.166,8.6,58.2,-8.6,9.555,15.022,8.723,3454,0.0,0
SKU-0199,WH-SIN-01,snaive,888,29.617,7.2,59.3,7.2,16.862,36.17,23.966,7629,0.0,0
SKU-0200,WH-SIN-01,holt_winters,182,6.079,34.5,65.2,34.5,6.22,7.879,6.728,1884,0.049,0
SKU-0201,WH-SIN-01,combination,1064,35.477,16.7,35.5,16.7,13.963,41.515,19.602,9642,0.0,0
SKU-0202,WH-SIN-01,seasonal_index,514,17.122,54.7,61.3,54.7,35.751,35.173,30.56,9643,0.0,0
SKU-0203,WH-SIN-01,seasonal_index,2584,86.137,5.1,29.8,-5.1,55.873,99.682,50.459,26273,0.0,0
SKU-0204,WH-SIN-01,combination,378,12.612,9.7,65.3,9.7,7.586,12.874,8.907,2863,0.014,0
SKU-0205,WH-SIN-01,seasonal_index,134,4.468,16.8,44.6,16.8,2.826,3.504,2.777,919,0.077,0
SKU-0206,WH-SIN-01,seasonal_index,952,31.728,13.3,45.8,13.3,20.4,24.844,20.154,5758,0.014,0
SKU-0207,WH-SIN-01,seasonal_index,284,9.472,36.8,48.4,36.8,9.527,14.425,8.819,3535,0.0,0
SKU-0208,WH-SIN-01,holt_winters,399,13.304,2.5,48.2,2.5,9.804,16.537,12.67,3819,0.003,0
SKU-0209,WH-SIN-01,holt_winters,858,28.607,5.5,34.3,5.5,18.178,27.101,16.743,7189,0.0,0
SKU-0210,WH-SIN-01,seasonal_index,357,11.916,19.6,69.6,19.6,8.497,10.564,7.5,2562,0.005,0
SKU-0211,WH-SIN-01,combination,473,15.781,12.1,46.1,-12.1,11.053,15.951,10.254,4140,0.008,0
SKU-0212,WH-SIN-01,seasonal_index,1307,43.583,77.9,95.5,77.9,32.405,50.353,39.131,12230,0.0,0
SKU-0213,WH-SIN-01,combination,12357,411.907,3.1,38.5,-3.1,177.654,326.756,190.313,78981,0.0,0
SKU-0214,WH-SIN-01,ma28,2263,75.429,2.4,35.4,2.4,56.788,72.515,52.106,18159,0.0,0
SKU-0215,WH-SIN-01,seasonal_index,348,11.604,26.7,53.0,-26.7,13.4,14.74,11.489,3822,0.005,0
SKU-0216,WH-SIN-01,holt_winters,4115,137.161,38.3,55.6,38.3,115.921,166.701,103.32,39762,0.0,0
SKU-0217,WH-SIN-01,combination,280,9.324,32.7,49.8,32.7,9.076,11.31,7.668,3161,0.005,0
SKU-0218,WH-SIN-01,combination,799,26.622,24.4,52.8,24.4,23.267,35.723,23.742,8141,0.0,0
SKU-0219,WH-SIN-01,snaive,780,25.983,22.3,43.5,-22.3,11.19,19.167,13.453,4051,0.0,0
SKU-0220,WH-SIN-01,combination,315,10.484,18.6,54.8,18.6,5.689,10.03,7.126,2282,0.016,0
SKU-0221,WH-SIN-01,combination,125,4.161,25.4,49.0,-25.4,3.161,3.71,3.371,873,0.148,0
SKU-0222,WH-SIN-01,seasonal_index,96,3.193,3.8,65.1,3.8,2.761,3.159,2.601,777,0.101,0
SKU-0223,WH-SIN-01,croston_sba,27,0.885,30.4,118.5,-30.4,0.946,0.564,0.88,129,0.633,1
SKU-0224,WH-SIN-01,combination,178,5.942,31.6,55.2,-31.6,3.263,5.175,5.071,978,0.058,0
SKU-0225,WH-SIN-01,holt_winters,183,6.108,5.7,41.2,-5.7,3.682,4.707,4.176,1192,0.126,0
SKU-0226,WH-SIN-01,combination,293,9.769,13.2,58.2,13.2,8.694,15.301,11.123,3449,0.005,0
SKU-0227,WH-SIN-01,combination,3329,110.967,6.2,45.5,-6.2,85.1,135.723,81.932,35115,0.0,0
SKU-0228,WH-SIN-01,combination,1684,56.144,16.8,43.2,-16.8,23.271,47.112,30.69,10393,0.0,0
