SKU_ID,Warehouse_ID,Warehouse_Name,Product_Category,ABC_Class,Supplier_ID,Unit_Cost,Unit_Price,Lead_Time_Days,Lead_Time_Variability_Days,Holding_Cost_Per_Unit
SKU-0035,WH-BTM-03,Batam,Medical Supplies,B,SUP-016,11.81,15.28,26,3.9,1.82
SKU-0036,WH-BTM-03,Batam,Consumer Electronics,C,SUP-017,11.4,15.82,34,8.2,1.76
SKU-0037,WH-BTM-03,Batam,Consumer Electronics,B,SUP-036,48.54,93.54,25,5.9,7.48
SKU-0038,WH-BTM-03,Batam,Medical Supplies,A,SUP-023,12.84,24.45,24,7.4,1.98
SKU-0039,WH-BTM-03,Batam,Industrial Components,B,SUP-006,19.9,38.71,33,4.4,3.06
SKU-0040,WH-BTM-03,Batam,Automotive Parts,B,SUP-029,12.08,18.14,32,10.5,1.86
SKU-0041,WH-BTM-03,Batam,Medical Supplies,C,SUP-024,6.52,14.19,26,6.1,1.0
SKU-0042,WH-BTM-03,Batam,FMCG Household,B,SUP-021,3.86,6.82,10,2.5,0.59
SKU-0043,WH-BTM-03,Batam,Automotive Parts,C,SUP-030,7.1,9.66,41,9.3,1.09
SKU-0044,WH-BTM-03,Batam,Industrial Components,C,SUP-037,11.38,15.63,37,4.0,1.75
SKU-0045,WH-BTM-03,Batam,FMCG Household,C,SUP-014,1.58,2.98,10,2.2,0.24
SKU-0046,WH-BTM-03,Batam,FMCG Household,C,SUP-017,2.31,3.22,9,1.5,0.36
SKU-0047,WH-BTM-03,Batam,Industrial Components,B,SUP-008,24.11,40.36,34,6.3,3.71
SKU-0048,WH-BTM-03,Batam,Industrial Components,B,SUP-026,20.76,49.08,46,12.1,3.2
SKU-0049,WH-BTM-03,Batam,Automotive Parts,C,SUP-017,8.95,11.5,45,10.1,1.38
SKU-0050,WH-BTM-03,Batam,Consumer Electronics,B,SUP-014,20.4,26.36,26,3.2,3.14
SKU-0051,WH-BTM-03,Batam,Consumer Electronics,A,SUP-028,53.4,126.39,21,2.5,8.22
SKU-0052,WH-BTM-03,Batam,Consumer Electronics,A,SUP-017,42.07,73.87,29,4.2,6.48
SKU-0053,WH-BTM-03,Batam,FMCG Household,C,SUP-019,2.9,3.95,9,1.3,0.45
SKU-0054,WH-BTM-03,Batam,Automotive Parts,B,SUP-018,36.5,79.87,44,11.1,5.62
SKU-0055,WH-BTM-03,Batam,Automotive Parts,B,SUP-011,40.86,88.24,48,6.9,6.29
SKU-0056,WH-BTM-03,Batam,FMCG Household,C,SUP-006,0.72,1.23,12,3.8,0.15
SKU-0057,WH-BTM-03,Batam,Medical Supplies,C,SUP-034,11.17,20.08,20,3.0,1.72
SKU-0058,WH-BTM-03,Batam,Automotive Parts,C,SUP-004,30.36,44.54,32,3.9,4.68
SKU-0059,WH-BTM-03,Batam,Consumer Electronics,B,SUP-013,25.62,33.63,21,6.7,3.95
SKU-0060,WH-BTM-03,Batam,Consumer Electronics,A,SUP-027,53.45,94.44,27,4.7,8.23
SKU-0061,WH-BTM-03,Batam,Automotive Parts,C,SUP-006,27.68,41.08,51,10.5,4.26
SKU-0062,WH-BTM-03,Batam,Medical Supplies,A,SUP-027,21.22,39.22,20,6.8,3.27
SKU-0063,WH-BTM-03,Batam,Automotive Parts,B,SUP-030,45.04,94.04,44,14.8,6.94
SKU-0064,WH-BTM-03,Batam,FMCG Household,C,SUP-027,2.37,3.06,13,3.6,0.36
SKU-0065,WH-BTM-03,Batam,Automotive Parts,C,SUP-013,47.75,84.43,33,3.9,7.35
SKU-0066,WH-BTM-03,Batam,Medical Supplies,B,SUP-001,16.68,23.94,18,4.5,2.57
SKU-0067,WH-BTM-03,Batam,Medical Supplies,A,SUP-036,23.26,49.98,21,7.3,3.58
SKU-0068,WH-BTM-03,Batam,Industrial Components,C,SUP-014,15.26,22.16,41,13.8,2.35
SKU-0069,WH-BTM-03,Batam,Consumer Electronics,A,SUP-033,34.43,61.47,27,3.4,5.3
SKU-0070,WH-BTM-03,Batam,Medical Supplies,A,SUP-008,15.29,26.33,25,5.0,2.35
SKU-0071,WH-BTM-03,Batam,Consumer Electronics,B,SUP-007,12.77,20.04,34,6.1,1.97
SKU-0072,WH-BTM-03,Batam,Industrial Components,A,SUP-032,17.35,32.37,42,5.6,2.67
SKU-0073,WH-BTM-03,Batam,FMCG Household,B,SUP-038,3.89,7.5,15,4.1,0.6
SKU-0074,WH-BTM-03,Batam,Industrial Components,B,SUP-035,25.71,44.64,42,7.1,3.96
SKU-0075,WH-BTM-03,Batam,Consumer Electronics,B,SUP-031,16.76,33.06,33,6.1,2.58
SKU-0076,WH-BTM-03,Batam,Industrial Components,C,SUP-010,15.2,35.68,44,5.4,2.34
SKU-0077,WH-BTM-03,Batam,Industrial Components,C,SUP-037,9.9,15.74,42,9.4,1.52
SKU-0078,WH-BTM-03,Batam,Automotive Parts,C,SUP-027,6.17,10.37,50,7.0,0.95
SKU-0079,WH-BTM-03,Batam,Medical Supplies,C,SUP-007,25.19,32.48,28,5.8,3.88
SKU-0080,WH-BTM-03,Batam,FMCG Household,B,SUP-006,2.16,4.38,12,1.6,0.33
SKU-0081,WH-BTM-03,Batam,Automotive Parts,C,SUP-035,19.45,32.81,46,15.6,3.0
SKU-0082,WH-BTM-03,Batam,Industrial Components,B,SUP-012,24.55,38.78,38,5.2,3.78
SKU-0083,WH-BTM-03,Batam,FMCG Household,C,SUP-031,0.53,0.71,14,3.2,0.15
SKU-0084,WH-BTM-03,Batam,Consumer Electronics,A,SUP-006,22.29,48.49,27,4.0,3.43
SKU-0085,WH-BTM-03,Batam,Consumer Electronics,A,SUP-012,45.67,71.61,33,3.9,7.03
SKU-0086,WH-BTM-03,Batam,Consumer Electronics,C,SUP-012,41.86,78.35,32,4.8,6.45
SKU-0087,WH-BTM-03,Batam,FMCG Household,C,SUP-012,4.13,5.69,15,1.7,0.64
SKU-0088,WH-BTM-03,Batam,Medical Supplies,C,SUP-027,17.51,40.36,20,2.7,2.7
SKU-0089,WH-BTM-03,Batam,Consumer Electronics,B,SUP-037,33.26,46.47,31,6.9,5.12
SKU-0090,WH-BTM-03,Batam,Medical Supplies,A,SUP-037,21.04,29.71,26,6.8,3.24
SKU-0091,WH-BTM-03,Batam,Consumer Electronics,A,SUP-030,56.68,120.4,35,4.3,8.73
SKU-0092,WH-BTM-03,Batam,Automotive Parts,C,SUP-009,38.87,86.1,52,10.9,5.99
SKU-0093,WH-BTM-03,Batam,Medical Supplies,C,SUP-039,26.08,37.07,24,5.9,4.02
SKU-0094,WH-BTM-03,Batam,Industrial Components,B,SUP-022,31.15,50.99,39,6.2,4.8
SKU-0095,WH-BTM-03,Batam,Industrial Components,C,SUP-022,34.2,66.29,31,6.0,5.27
SKU-0096,WH-BTM-03,Batam,Automotive Parts,C,SUP-029,10.36,22.34,54,6.4,1.6
SKU-0097,WH-BTM-03,Batam,Industrial Components,B,SUP-031,29.37,45.64,32,5.0,4.52
SKU-0098,WH-BTM-03,Batam,Consumer Electronics,A,SUP-039,31.2,52.54,31,6.7,4.8
SKU-0099,WH-BTM-03,Batam,Consumer Electronics,A,SUP-024,37.42,72.95,32,11.1,5.76
SKU-0100,WH-BTM-03,Batam,Apparel & Textiles,C,SUP-025,9.57,18.52,31,10.8,1.47
SKU-0101,WH-BTM-03,Batam,Apparel & Textiles,B,SUP-030,13.61,27.32,27,9.3,2.1
SKU-0102,WH-BTM-03,Batam,Automotive Parts,B,SUP-011,51.28,89.21,36,7.4,7.9
SKU-0103,WH-BTM-03,Batam,Industrial Components,C,SUP-013,13.38,18.02,44,5.3,2.06
SKU-0104,WH-BTM-03,Batam,Apparel & Textiles,A,SUP-026,10.59,23.3,32,5.8,1.63
SKU-0105,WH-BTM-03,Batam,FMCG Household,C,SUP-003,3.27,6.98,9,1.4,0.5
SKU-0106,WH-BTM-03,Batam,Automotive Parts,C,SUP-013,21.29,43.21,48,5.0,3.28
SKU-0107,WH-BTM-03,Batam,Medical Supplies,C,SUP-029,5.1,6.85,20,2.5,0.79
SKU-0108,WH-BTM-03,Batam,Industrial Components,C,SUP-040,4.47,6.33,45,9.6,0.69
SKU-0109,WH-BTM-03,Batam,Consumer Electronics,A,SUP-021,49.75,97.11,25,4.6,7.66
SKU-0110,WH-BTM-03,Batam,Apparel & Textiles,C,SUP-016,7.47,9.68,27,3.9,1.15
SKU-0111,WH-BTM-03,Batam,Medical Supplies,A,SUP-018,26.64,62.32,18,5.0,4.1
SKU-0112,WH-BTM-03,Batam,Consumer Electronics,B,SUP-028,32.57,50.56,28,5.3,5.02
SKU-0113,WH-BTM-03,Batam,Industrial Components,A,SUP-022,38.21,73.33,36,11.3,5.88
SKU-0114,WH-BTM-03,Batam,Automotive Parts,B,SUP-001,24.34,52.86,48,7.7,3.75
SKU-0115,WH-BTM-03,Batam,Consumer Electronics,A,SUP-022,50.65,79.4,27,6.3,7.8
SKU-0116,WH-BTM-03,Batam,FMCG Household,C,SUP-017,0.81,1.22,11,1.6,0.15
SKU-0117,WH-BTM-03,Batam,FMCG Household,C,SUP-029,2.56,4.56,10,2.2,0.39
SKU-0118,WH-BTM-03,Batam,Automotive Parts,C,SUP-036,42.7,74.8,38,5.2,6.58
SKU-0119,WH-BTM-03,Batam,Medical Supplies,B,SUP-039,25.12,39.7,28,3.9,3.87
SKU-0120,WH-BTM-03,Batam,Automotive Parts,B,SUP-025,43.66,77.5,35,8.9,6.72
SKU-0121,WH-BTM-03,Batam,Automotive Parts,C,SUP-015,6.74,15.21,54,9.0,1.04
SKU-0122,WH-BTM-03,Batam,Automotive Parts,B,SUP-018,22.52,36.82,39,5.6,3.47
SKU-0123,WH-BTM-03,Batam,Consumer Electronics,C,SUP-008,9.68,13.65,22,7.3,1.49
SKU-0124,WH-BTM-03,Batam,Industrial Components,C,SUP-038,6.93,10.76,32,3.5,1.07
SKU-0125,WH-BTM-03,Batam,Consumer Electronics,A,SUP-034,44.14,69.17,21,5.1,6.8
SKU-0126,WH-BTM-03,Batam,Medical Supplies,C,SUP-035,19.83,27.06,26,6.2,3.05
SKU-0127,WH-BTM-03,Batam,Industrial Components,C,SUP-014,30.85,42.77,38,6.2,4.75
SKU-0128,WH-BTM-03,Batam,Consumer Electronics,A,SUP-013,54.6,102.33,26,5.5,8.41
SKU-0129,WH-BTM-03,Batam,Consumer Electronics,A,SUP-035,47.67,72.47,30,3.7,7.34
SKU-0130,WH-BTM-03,Batam,Automotive Parts,B,SUP-022,42.64,97.75,46,12.9,6.57
SKU-0131,WH-BTM-03,Batam,Consumer Electronics,B,SUP-029,9.69,14.0,35,5.4,1.49
SKU-0132,WH-BTM-03,Batam,Apparel & Textiles,C,SUP-020,4.2,5.64,40,5.9,0.65
SKU-0133,WH-BTM-03,Batam,Automotive Parts,A,SUP-018,34.23,67.28,47,8.4,5.27
SKU-0134,WH-BTM-03,Batam,Industrial Components,B,SUP-026,33.89,73.22,44,14.3,5.22
SKU-0135,WH-BTM-03,Batam,Automotive Parts,B,SUP-033,5.21,7.66,49,14.7,0.8
SKU-0136,WH-BTM-03,Batam,Consumer Electronics,B,SUP-014,35.3,49.91,28,9.4,5.44
SKU-0137,WH-BTM-03,Batam,Apparel & Textiles,C,SUP-033,9.87,13.84,35,9.2,1.52
SKU-0138,WH-BTM-03,Batam,Medical Supplies,B,SUP-010,2.74,4.63,18,4.8,0.42
SKU-0139,WH-BTM-03,Batam,FMCG Household,C,SUP-017,1.99,3.25,14,3.1,0.31
SKU-0140,WH-BTM-03,Batam,Consumer Electronics,A,SUP-037,56.26,81.94,35,11.4,8.66
SKU-0141,WH-BTM-03,Batam,Medical Supplies,B,SUP-039,18.79,24.6,18,4.1,2.89
SKU-0142,WH-BTM-03,Batam,Medical Supplies,C,SUP-037,7.94,13.09,27,5.1,1.22
SKU-0143,WH-BTM-03,Batam,Apparel & Textiles,C,SUP-013,12.12,27.89,39,10.1,1.87
SKU-0144,WH-BTM-03,Batam,Automotive Parts,C,SUP-034,21.36,39.19,36,8.5,3.29
SKU-0145,WH-BTM-03,Batam,Medical Supplies,C,SUP-038,23.33,38.78,23,3.0,3.59
SKU-0146,WH-BTM-03,Batam,Industrial Components,C,SUP-040,13.76,18.59,46,9.1,2.12
SKU-0147,WH-BTM-03,Batam,Industrial Components,B,SUP-001,24.25,35.19,47,8.4,3.73
SKU-0148,WH-BTM-03,Batam,Medical Supplies,B,SUP-030,11.92,17.69,18,5.6,1.84
SKU-0149,WH-BTM-03,Batam,Medical Supplies,C,SUP-040,8.87,17.58,21,4.1,1.37
SKU-0150,WH-BTM-03,Batam,Consumer Electronics,C,SUP-031,55.76,120.07,31,9.5,8.59
SKU-0151,WH-BTM-03,Batam,FMCG Household,C,SUP-010,1.19,2.61,10,2.1,0.18
SKU-0152,WH-BTM-03,Batam,FMCG Household,C,SUP-031,0.81,1.9,11,3.2,0.15
SKU-0153,WH-BTM-03,Batam,Consumer Electronics,A,SUP-005,25.81,60.54,21,2.8,3.97
SKU-0154,WH-BTM-03,Batam,Medical Supplies,A,SUP-020,19.94,45.64,18,6.0,3.07
SKU-0155,WH-BTM-03,Batam,Consumer Electronics,A,SUP-026,51.41,68.17,29,6.4,7.92
SKU-0156,WH-BTM-03,Batam,Automotive Parts,A,SUP-019,51.94,71.11,46,7.6,8.0
SKU-0157,WH-BTM-03,Batam,Industrial Components,C,SUP-028,13.67,20.39,40,6.4,2.11
SKU-0158,WH-BTM-03,Batam,Automotive Parts,B,SUP-010,24.17,41.6,49,8.1,3.72
SKU-0159,WH-BTM-03,Batam,FMCG Household,C,SUP-025,1.01,1.36,11,2.1,0.16
SKU-0160,WH-BTM-03,Batam,FMCG Household,C,SUP-026,2.63,5.53,11,3.1,0.41
SKU-0161,WH-BTM-03,Batam,Consumer Electronics,A,SUP-026,61.87,110.88,21,7.1,9.53
SKU-0162,WH-BTM-03,Batam,Apparel & Textiles,B,SUP-012,10.17,17.39,27,7.2,1.57
SKU-0163,WH-BTM-03,Batam,Industrial Components,C,SUP-013,24.43,33.91,34,8.1,3.76
SKU-0164,WH-BTM-03,Batam,Consumer Electronics,A,SUP-011,28.58,41.49,23,4.9,4.4
SKU-0165,WH-BTM-03,Batam,Medical Supplies,C,SUP-019,24.88,34.45,17,5.2,3.83
SKU-0166,WH-BTM-03,Batam,Industrial Components,C,SUP-024,20.89,44.14,30,9.4,3.22
SKU-0167,WH-BTM-03,Batam,FMCG Household,C,SUP-015,1.0,1.76,13,2.3,0.15
SKU-0168,WH-BTM-03,Batam,FMCG Household,C,SUP-017,1.85,3.59,13,4.4,0.28
SKU-0169,WH-BTM-03,Batam,Industrial Components,C,SUP-012,5.42,8.05,46,9.1,0.83
SKU-0170,WH-BTM-03,Batam,Apparel & Textiles,C,SUP-009,3.79,5.86,37,11.1,0.58
SKU-0171,WH-BTM-03,Batam,Industrial Components,C,SUP-027,3.64,5.74,39,13.3,0.56
SKU-0172,WH-BTM-03,Batam,Medical Supplies,C,SUP-033,13.33,26.32,18,5.0,2.05
SKU-0173,WH-BTM-03,Batam,Industrial Components,B,SUP-012,25.84,51.48,39,5.5,3.98
SKU-0174,WH-BTM-03,Batam,Apparel & Textiles,C,SUP-035,5.59,7.92,24,5.9,0.86
SKU-0175,WH-BTM-03,Batam,Consumer Electronics,A,SUP-023,30.12,68.29,27,3.5,4.64
SKU-0176,WH-BTM-03,Batam,Consumer Electronics,A,SUP-007,59.76,81.13,26,7.7,9.2
SKU-0177,WH-BTM-03,Batam,Medical Supplies,A,SUP-015,20.8,45.47,22,3.7,3.2
SKU-0178,WH-BTM-03,Batam,Apparel & Textiles,C,SUP-001,8.12,10.92,28,7.7,1.25
SKU-0179,WH-BTM-03,Batam,FMCG Household,B,SUP-002,1.55,2.26,13,4.3,0.24
SKU-0180,WH-BTM-03,Batam,FMCG Household,B,SUP-014,3.82,8.04,14,2.0,0.59
SKU-0181,WH-BTM-03,Batam,FMCG Household,C,SUP-019,1.37,1.92,14,2.8,0.21
SKU-0182,WH-BTM-03,Batam,FMCG Household,C,SUP-032,1.7,2.69,13,3.4,0.26
SKU-0183,WH-BTM-03,Batam,Medical Supplies,C,SUP-006,24.73,40.01,23,4.7,3.81
SKU-0184,WH-BTM-03,Batam,Industrial Components,C,SUP-034,22.06,31.89,28,4.0,3.4
SKU-0185,WH-BTM-03,Batam,FMCG Household,C,SUP-010,3.25,6.2,13,1.4,0.5
SKU-0186,WH-BTM-03,Batam,Automotive Parts,B,SUP-006,32.77,69.21,44,8.9,5.05
SKU-0187,WH-BTM-03,Batam,Industrial Components,A,SUP-028,26.52,57.01,33,8.7,4.08
SKU-0188,WH-BTM-03,Batam,Consumer Electronics,C,SUP-031,23.47,35.68,25,6.1,3.61
SKU-0189,WH-BTM-03,Batam,FMCG Household,C,SUP-025,1.39,2.36,15,2.1,0.21
SKU-0190,WH-BTM-03,Batam,Industrial Components,C,SUP-005,14.61,21.16,40,8.5,2.25
SKU-0191,WH-BTM-03,Batam,Apparel & Textiles,C,SUP-005,3.19,4.61,32,6.2,0.49
SKU-0192,WH-BTM-03,Batam,Industrial Components,B,SUP-016,34.48,47.76,40,6.7,5.31
SKU-0193,WH-BTM-03,Batam,Consumer Electronics,C,SUP-019,22.58,51.13,27,7.6,3.48
SKU-0194,WH-BTM-03,Batam,FMCG Household,B,SUP-040,2.58,5.6,12,2.1,0.4
SKU-0195,WH-BTM-03,Batam,Consumer Electronics,A,SUP-012,50.56,101.09,25,5.9,7.79
SKU-0196,WH-BTM-03,Batam,Consumer Electronics,B,SUP-008,50.11,84.41,27,8.9,7.72
SKU-0197,WH-BTM-03,Batam,Automotive Parts,C,SUP-038,25.6,42.43,47,11.0,3.94
SKU-0198,WH-BTM-03,Batam,FMCG Household,C,SUP-007,2.26,3.84,9,2.3,0.35
SKU-0199,WH-BTM-03,Batam,Consumer Electronics,A,SUP-002,61.71,105.16,32,3.8,9.5
SKU-0200,WH-BTM-03,Batam,Industrial Components,C,SUP-017,27.29,43.77,33,4.8,4.2
SKU-0201,WH-BTM-03,Batam,FMCG Household,C,SUP-017,3.51,4.79,13,1.6,0.54
SKU-0202,WH-BTM-03,Batam,Apparel & Textiles,B,SUP-025,12.75,17.35,34,9.9,1.96
SKU-0203,WH-BTM-03,Batam,Medical Supplies,A,SUP-036,21.69,49.61,25,7.7,3.34
SKU-0204,WH-BTM-03,Batam,Consumer Electronics,C,SUP-038,17.18,28.33,30,4.4,2.65
SKU-0205,WH-BTM-03,Batam,Consumer Electronics,C,SUP-012,37.92,86.8,35,5.4,5.84
SKU-0206,WH-BTM-03,Batam,Industrial Components,C,SUP-040,6.67,9.25,37,6.7,1.03
SKU-0207,WH-BTM-03,Batam,Consumer Electronics,A,SUP-026,42.91,73.93,31,7.7,6.61
SKU-0208,WH-BTM-03,Batam,Automotive Parts,B,SUP-003,49.9,70.76,47,12.0,7.68
SKU-0209,WH-BTM-03,Batam,Consumer Electronics,A,SUP-038,35.2,51.1,24,6.5,5.42
SKU-0210,WH-BTM-03,Batam,Medical Supplies,C,SUP-006,12.82,16.67,20,6.5,1.97
SKU-0211,WH-BTM-03,Batam,Automotive Parts,C,SUP-024,6.68,9.06,41,7.1,1.03
SKU-0212,WH-BTM-03,Batam,Automotive Parts,A,SUP-032,50.11,111.37,38,10.1,7.72
SKU-0213,WH-BTM-03,Batam,Consumer Electronics,A,SUP-010,12.67,19.07,26,6.2,1.95
SKU-0214,WH-BTM-03,Batam,FMCG Household,C,SUP-011,0.65,1.16,11,1.9,0.15
SKU-0215,WH-BTM-03,Batam,Automotive Parts,B,SUP-020,16.57,27.05,45,14.7,2.55
SKU-0216,WH-BTM-03,Batam,FMCG Household,C,SUP-036,0.74,1.16,10,1.2,0.15
SKU-0217,WH-BTM-03,Batam,Consumer Electronics,B,SUP-009,32.03,54.42,33,9.2,4.93
SKU-0218,WH-BTM-03,Batam,Consumer Electronics,B,SUP-027,35.38,49.65,27,7.6,5.45
SKU-0219,WH-BTM-03,Batam,Apparel & Textiles,C,SUP-019,5.2,12.26,36,11.8,0.8
SKU-0220,WH-BTM-03,Batam,Industrial Components,C,SUP-005,4.83,9.95,29,6.7,0.74
SKU-0221,WH-BTM-03,Batam,Industrial Components,C,SUP-029,7.02,13.68,37,6.7,1.08
SKU-0222,WH-BTM-03,Batam,Medical Supplies,C,SUP-034,11.61,18.99,17,5.2,1.79
SKU-0223,WH-BTM-03,Batam,Automotive Parts,C,SUP-024,7.84,10.81,47,13.8,1.21
SKU-0224,WH-BTM-03,Batam,Apparel & Textiles,C,SUP-008,10.14,22.61,29,6.5,1.56
SKU-0225,WH-BTM-03,Batam,Industrial Components,C,SUP-007,10.45,15.9,46,13.4,1.61
SKU-0226,WH-BTM-03,Batam,Apparel & Textiles,C,SUP-017,5.07,6.65,29,4.8,0.78
SKU-0227,WH-BTM-03,Batam,Consumer Electronics,A,SUP-021,28.68,43.67,29,7.2,4.42
SKU-0228,WH-BTM-03,Batam,Medical Supplies,B,SUP-023,12.42,25.14,20,6.3,1.91
SKU-0229,WH-BTM-03,Batam,Automotive Parts,C,SUP-010,5.08,9.14,45,8.1,0.78
SKU-0230,WH-BTM-03,Batam,Consumer Electronics,B,SUP-021,13.16,25.82,27,6.0,2.03
SKU-0231,WH-BTM-03,Batam,Consumer Electronics,B,SUP-012,54.45,110.16,26,8.8,8.39
SKU-0232,WH-BTM-03,Batam,Industrial Components,C,SUP-028,3.04,4.32,31,9.3,0.47
SKU-0233,WH-BTM-03,Batam,Apparel & Textiles,C,SUP-032,7.7,17.21,25,8.0,1.19
SKU-0234,WH-BTM-03,Batam,Automotive Parts,B,SUP-027,28.01,45.01,34,6.7,4.31
SKU-0235,WH-BTM-03,Batam,Apparel & Textiles,C,SUP-001,5.46,9.93,41,14.3,0.84
SKU-0236,WH-BTM-03,Batam,FMCG Household,B,SUP-040,2.1,2.7,11,1.5,0.32
SKU-0237,WH-BTM-03,Batam,Medical Supplies,C,SUP-001,21.51,50.92,17,3.9,3.31
SKU-0238,WH-BTM-03,Batam,FMCG Household,B,SUP-040,3.61,5.32,15,3.3,0.56
SKU-0239,WH-BTM-03,Batam,Consumer Electronics,A,SUP-002,21.32,28.14,21,6.3,3.28
SKU-0240,WH-BTM-03,Batam,Consumer Electronics,B,SUP-021,24.74,40.23,27,8.8,3.81
SKU-0241,WH-BTM-03,Batam,FMCG Household,B,SUP-005,1.4,1.91,13,3.7,0.22
SKU-0242,WH-BTM-03,Batam,FMCG Household,C,SUP-004,2.28,3.14,15,3.9,0.35
SKU-0243,WH-BTM-03,Batam,Industrial Components,B,SUP-028,27.6,49.97,42,8.7,4.25
SKU-0244,WH-BTM-03,Batam,Medical Supplies,C,SUP-030,7.71,12.07,22,5.0,1.19
SKU-0245,WH-BTM-03,Batam,Automotive Parts,B,SUP-005,20.54,45.83,53,12.0,3.16
SKU-0246,WH-BTM-03,Batam,FMCG Household,C,SUP-040,3.94,5.92,9,0.9,0.61
SKU-0247,WH-BTM-03,Batam,Automotive Parts,C,SUP-013,7.28,14.04,54,12.2,1.12
SKU-0248,WH-BTM-03,Batam,Industrial Components,C,SUP-013,19.59,31.91,44,13.8,3.02
SKU-0249,WH-BTM-03,Batam,Industrial Components,B,SUP-012,28.62,52.76,46,12.8,4.41
SKU-0250,WH-BTM-03,Batam,Medical Supplies,B,SUP-019,5.76,10.21,20,6.0,0.89
SKU-0001,WH-JHR-02,Johor Bahru,FMCG Household,C,SUP-003,0.71,0.93,8,1.4,0.15
SKU-0002,WH-JHR-02,Johor Bahru,Medical Supplies,C,SUP-019,9.02,12.35,23,3.3,1.69
SKU-0003,WH-JHR-02,Johor Bahru,FMCG Household,C,SUP-025,1.74,3.87,10,3.5,0.33
SKU-0004,WH-JHR-02,Johor Bahru,Automotive Parts,B,SUP-039,13.13,16.91,36,4.2,2.46
SKU-0005,WH-JHR-02,Johor Bahru,Consumer Electronics,C,SUP-022,24.26,34.06,29,8.9,4.54
