SKU_ID,Warehouse_ID,Warehouse_Name,Product_Category,ABC_Class,Supplier_ID,Unit_Cost,Unit_Price,Lead_Time_Days,Lead_Time_Variability_Days,Avg_Daily_Demand,Demand_Std_Dev,Units_Sold_YTD,Current_Stock,Stockout_Events_YTD,Avg_Stockout_Duration_Days,Units_Lost_YTD,Holding_Cost_Per_Unit,Static_Reorder_Point,Demand_Forecast_AI,AI_Reorder_Point,Static_Order_Qty_Units,AI_Order_Qty_Units,Forecast_Model,Forecast_MAPE_Pct,Forecast_Bias_Pct,Forecast_Sigma_Daily,Is_Intermittent,Reorder_Flag,Snapshot_Date
SKU-0026,WH-BTM-03,Batam,Consumer Electronics,B,SUP-027,16.01,24.06,27,4.8,18.677,13.614,4906,1727,2,5.0,188,2.47,517,538,616,1742,1576,combination,40.9,40.9,15.435,0,0,2026-08-31
SKU-0027,WH-BTM-03,Batam,Medical Supplies,C,SUP-007,6.15,12.49,19,4.4,16.707,10.839,3905,1216,0,0.0,0,0.95,672,623,469,2657,2404,combination,16.7,-16.7,10.463,0,0,2026-08-31
SKU-0028,WH-BTM-03,Batam,Consumer Electronics,A,SUP-013,53.0,94.02,22,5.2,16.534,9.303,3728,348,0,0.0,0,8.16,520,618,525,902,816,seasonal_index,6.4,-6.4,9.312,0,1,2026-08-31
SKU-0029,WH-BTM-03,Batam,Consumer Electronics,B,SUP-015,61.4,87.45,26,6.9,6.778,3.856,1706,157,0,0.0,0,9.46,219,193,197,536,485,combination,10.6,10.6,3.549,0,1,2026-08-31
SKU-0030,WH-BTM-03,Batam,Automotive Parts,C,SUP-038,31.13,49.34,44,9.1,2.151,2.167,544,366,1,1.0,0,4.79,88,62,115,425,384,combination,14.7,-14.7,2.262,0,0,2026-08-31
SKU-0031,WH-BTM-03,Batam,FMCG Household,B,SUP-029,3.6,5.41,11,1.7,44.411,21.109,10761,4972,0,0.0,0,0.55,1253,1399,635,5694,5150,seasonal_index,9.8,-9.8,22.349,0,0,2026-08-31
SKU-0032,WH-BTM-03,Batam,Apparel & Textiles,C,SUP-015,13.88,18.46,34,10.8,6.849,5.415,1281,672,1,6.0,37,2.14,167,222,288,1134,1025,combination,14.3,14.3,3.791,0,0,2026-08-31
SKU-0033,WH-BTM-03,Batam,Industrial Components,A,SUP-030,8.1,10.53,33,6.2,100.633,79.182,22740,0,5,4.6,2291,1.25,2781,4102,5219,5685,5143,combination,31.4,-31.4,74.779,0,1,2026-08-31
SKU-0034,WH-BTM-03,Batam,Industrial Components,A,SUP-030,19.14,29.21,34,11.2,32.874,21.311,7190,1270,2,2.5,158,2.95,1104,930,1198,2115,1913,combination,0.2,-0.2,15.043,0,0,2026-08-31
SKU-0035,WH-BTM-03,Batam,Medical Supplies,B,SUP-016,11.81,15.28,26,3.9,16.397,10.539,3587,1475,2,9.0,273,1.82,332,536,552,1902,1720,seasonal_index,8.6,-8.6,10.383,0,0,2026-08-31
SKU-0036,WH-BTM-03,Batam,Consumer Electronics,C,SUP-017,11.4,15.82,34,8.2,5.964,4.74,1179,992,0,0.0,0,1.76,208,177,236,1166,1055,combination,8.3,-8.3,3.594,0,0,2026-08-31
SKU-0037,WH-BTM-03,Batam,Consumer Electronics,B,SUP-036,48.54,93.54,25,5.9,3.016,2.564,744,399,1,3.0,11,7.48,82,56,64,402,364,seasonal_index,6.4,6.4,2.091,0,0,2026-08-31
SKU-0038,WH-BTM-03,Batam,Medical Supplies,A,SUP-023,12.84,24.45,24,7.4,51.658,29.316,12980,4187,1,1.0,30,1.98,1972,1177,1184,3237,2928,seasonal_index,17.0,17.0,30.081,0,0,2026-08-31
SKU-0039,WH-BTM-03,Batam,Industrial Components,B,SUP-006,19.9,38.71,33,4.4,9.877,8.099,2104,1026,5,7.6,398,3.06,163,280,388,1138,1030,combination,70.4,70.4,8.484,0,0,2026-08-31
SKU-0040,WH-BTM-03,Batam,Automotive Parts,B,SUP-029,12.08,18.14,32,10.5,13.668,9.191,3009,1653,3,4.0,166,1.86,347,458,568,1718,1554,combination,0.0,0.0,8.539,0,0,2026-08-31
SKU-0041,WH-BTM-03,Batam,Medical Supplies,C,SUP-024,6.52,14.19,26,6.1,0.967,1.186,232,606,2,1.5,6,1.0,19,21,28,623,564,croston_sba,18.1,-18.1,1.23,1,0,2026-08-31
SKU-0042,WH-BTM-03,Batam,FMCG Household,B,SUP-021,3.86,6.82,10,2.5,56.616,37.126,13229,2484,0,0.0,0,0.59,1424,1962,855,6207,5615,combination,4.1,-4.1,38.55,0,0,2026-08-31
SKU-0043,WH-BTM-03,Batam,Automotive Parts,C,SUP-030,7.1,9.66,41,9.3,9.074,7.12,2133,1622,2,4.5,72,1.09,292,226,385,1828,1654,combination,6.7,6.7,7.238,0,0,2026-08-31
SKU-0044,WH-BTM-03,Batam,Industrial Components,C,SUP-037,11.38,15.63,37,4.0,1.63,1.778,386,389,1,7.0,18,1.75,48,53,84,612,553,seasonal_index,18.5,-18.5,1.832,0,0,2026-08-31
SKU-0045,WH-BTM-03,Batam,FMCG Household,C,SUP-014,1.58,2.98,10,2.2,13.553,7.182,3211,2588,0,0.0,0,0.24,392,327,142,4762,4307,combination,0.3,0.3,6.293,0,0,2026-08-31
SKU-0046,WH-BTM-03,Batam,FMCG Household,C,SUP-017,2.31,3.22,9,1.5,41.54,20.229,10546,3082,0,0.0,0,0.36,1227,1300,497,6807,6157,seasonal_index,16.3,-16.3,21.76,0,0,2026-08-31
SKU-0047,WH-BTM-03,Batam,Industrial Components,B,SUP-008,24.11,40.36,34,6.3,5.57,4.717,1331,120,1,2.0,17,3.71,178,139,197,776,702,holt_winters,29.8,29.8,4.1,0,1,2026-08-31
SKU-0048,WH-BTM-03,Batam,Industrial Components,B,SUP-026,20.76,49.08,46,12.1,4.77,3.946,1024,524,2,10.0,148,3.2,114,150,275,774,700,combination,14.6,14.6,3.939,0,0,2026-08-31
SKU-0049,WH-BTM-03,Batam,Automotive Parts,C,SUP-017,8.95,11.5,45,10.1,3.474,2.994,904,411,1,7.0,48,1.38,123,93,174,1005,909,combination,13.1,13.1,3.109,0,0,2026-08-31
SKU-0050,WH-BTM-03,Batam,Consumer Electronics,B,SUP-014,20.4,26.36,26,3.2,11.479,7.08,3133,453,0,0.0,0,3.14,401,267,292,1212,1096,seasonal_index,11.7,-11.7,7.275,0,0,2026-08-31
SKU-0051,WH-BTM-03,Batam,Consumer Electronics,A,SUP-028,53.4,126.39,21,2.5,16.827,11.576,3829,312,0,0.0,0,8.22,558,378,339,907,820,combination,12.6,-12.6,9.881,0,1,2026-08-31
SKU-0052,WH-BTM-03,Batam,Consumer Electronics,A,SUP-017,42.07,73.87,29,4.2,68.392,46.29,17584,2027,2,4.0,968,6.48,2344,1642,2063,2059,1862,combination,23.7,23.7,53.677,0,1,2026-08-31
SKU-0053,WH-BTM-03,Batam,FMCG Household,C,SUP-019,2.9,3.95,9,1.3,0.929,1.064,222,146,0,0.0,0,0.45,30,24,12,910,824,seasonal_index,66.8,66.8,1.077,1,0,2026-08-31
SKU-0054,WH-BTM-03,Batam,Automotive Parts,B,SUP-018,36.5,79.87,44,11.1,3.907,3.479,942,93,2,2.5,21,5.62,172,112,198,528,478,seasonal_index,17.8,17.8,3.186,0,1,2026-08-31
SKU-0055,WH-BTM-03,Batam,Automotive Parts,B,SUP-011,40.86,88.24,48,6.9,7.537,5.133,1623,297,3,11.3,276,6.29,226,214,399,694,627,seasonal_index,14.9,14.9,5.038,0,1,2026-08-31
SKU-0056,WH-BTM-03,Batam,FMCG Household,C,SUP-006,0.72,1.23,12,3.8,34.433,20.82,8197,2816,0,0.0,0,0.15,984,1129,585,9600,8684,combination,5.9,-5.9,23.513,0,0,2026-08-31
SKU-0057,WH-BTM-03,Batam,Medical Supplies,C,SUP-034,11.17,20.08,20,3.0,10.26,5.636,2572,390,1,1.0,2,1.72,263,244,204,1548,1400,seasonal_index,3.6,-3.6,5.542,0,0,2026-08-31
SKU-0058,WH-BTM-03,Batam,Automotive Parts,C,SUP-004,30.36,44.54,32,3.9,0.444,0.774,97,142,0,0.0,0,4.68,11,12,21,195,177,croston_sba,87.6,87.6,0.787,1,0,2026-08-31
SKU-0059,WH-BTM-03,Batam,Consumer Electronics,B,SUP-013,25.62,33.63,21,6.7,14.707,11.319,3216,600,1,6.0,55,3.95,329,558,473,1223,1106,combination,8.1,-8.1,10.887,0,0,2026-08-31
SKU-0060,WH-BTM-03,Batam,Consumer Electronics,A,SUP-027,53.45,94.44,27,4.7,95.701,60.798,20103,1954,4,5.5,2005,8.23,2367,2169,2353,2161,1954,ma28,1.1,-1.1,46.998,0,1,2026-08-31
SKU-0061,WH-BTM-03,Batam,Automotive Parts,C,SUP-006,27.68,41.08,51,10.5,0.866,1.207,184,159,3,3.0,20,4.26,26,33,71,286,258,combination,1.2,1.2,1.198,1,0,2026-08-31
SKU-0062,WH-BTM-03,Batam,Medical Supplies,A,SUP-027,21.22,39.22,20,6.8,27.973,18.016,6457,900,0,0.0,0,3.27,918,895,725,1853,1676,combination,2.6,2.6,17.427,0,0,2026-08-31
SKU-0063,WH-BTM-03,Batam,Automotive Parts,B,SUP-030,45.04,94.04,44,14.8,1.704,1.605,368,271,5,4.4,55,6.94,53,43,80,314,284,ma28,49.5,49.5,1.599,0,0,2026-08-31
SKU-0064,WH-BTM-03,Batam,FMCG Household,C,SUP-027,2.37,3.06,13,3.6,14.803,8.777,3630,1070,0,0.0,0,0.36,378,382,214,4063,3675,combination,4.3,4.3,8.119,0,0,2026-08-31
SKU-0065,WH-BTM-03,Batam,Automotive Parts,C,SUP-013,47.75,84.43,33,3.9,1.551,1.87,323,224,0,0.0,0,7.35,57,35,52,291,263,holt_winters,32.0,32.0,1.443,1,0,2026-08-31
SKU-0066,WH-BTM-03,Batam,Medical Supplies,B,SUP-001,16.68,23.94,18,4.5,14.184,9.635,3848,538,0,0.0,0,2.57,503,428,335,1489,1346,combination,6.6,-6.6,11.276,0,0,2026-08-31
SKU-0067,WH-BTM-03,Batam,Medical Supplies,A,SUP-036,23.26,49.98,21,7.3,83.923,39.686,19534,994,0,0.0,0,3.58,2480,2218,1800,3068,2775,combination,13.1,13.1,32.837,0,1,2026-08-31
SKU-0068,WH-BTM-03,Batam,Industrial Components,C,SUP-014,15.26,22.16,41,13.8,13.581,10.41,2754,1460,3,10.7,476,2.35,357,434,722,1523,1378,snaive,15.3,-15.3,12.27,0,0,2026-08-31
SKU-0069,WH-BTM-03,Batam,Consumer Electronics,A,SUP-033,34.43,61.47,27,3.4,70.044,45.01,18352,1879,2,4.5,856,5.3,2397,1707,1934,2304,2084,combination,27.2,27.2,46.551,0,1,2026-08-31
SKU-0070,WH-BTM-03,Batam,Medical Supplies,A,SUP-008,15.29,26.33,25,5.0,39.54,21.363,8548,1122,0,0.0,0,2.35,1259,1078,1030,2599,2351,combination,6.8,-6.8,15.989,0,0,2026-08-31
SKU-0071,WH-BTM-03,Batam,Consumer Electronics,B,SUP-007,12.77,20.04,34,6.1,14.726,9.421,3216,1563,2,14.0,402,1.97,310,461,619,1732,1567,combination,1.3,-1.3,10.111,0,0,2026-08-31
SKU-0072,WH-BTM-03,Batam,Industrial Components,A,SUP-032,17.35,32.37,42,5.6,54.088,42.437,10327,1081,4,10.5,2434,2.67,1631,1688,2792,2852,2580,seasonal_index,15.0,15.0,40.15,0,1,2026-08-31
SKU-0073,WH-BTM-03,Batam,FMCG Household,B,SUP-038,3.89,7.5,15,4.1,28.671,22.188,7271,1412,0,0.0,0,0.6,927,797,534,4380,3962,seasonal_index,16.0,-16.0,21.301,0,0,2026-08-31
SKU-0074,WH-BTM-03,Batam,Industrial Components,B,SUP-035,25.71,44.64,42,7.1,14.392,13.883,2785,0,4,7.5,378,3.96,355,420,715,1208,1093,combination,13.4,13.4,11.879,0,1,2026-08-31
SKU-0075,WH-BTM-03,Batam,Consumer Electronics,B,SUP-031,16.76,33.06,33,6.1,8.115,4.527,1893,181,1,3.0,13,2.58,258,302,372,1124,1016,combination,10.1,10.1,4.221,0,1,2026-08-31
SKU-0076,WH-BTM-03,Batam,Industrial Components,C,SUP-010,15.2,35.68,44,5.4,6.762,5.888,1432,697,1,19.0,133,2.34,142,238,413,1077,974,seasonal_index,20.9,20.9,5.935,0,0,2026-08-31
SKU-0077,WH-BTM-03,Batam,Industrial Components,C,SUP-037,9.9,15.74,42,9.4,3.279,2.985,666,362,2,3.5,34,1.52,129,109,178,931,842,combination,11.7,-11.7,2.403,0,0,2026-08-31
SKU-0078,WH-BTM-03,Batam,Automotive Parts,C,SUP-027,6.17,10.37,50,7.0,15.704,12.949,3511,1641,2,5.5,133,0.95,610,486,917,2576,2330,seasonal_index,5.7,-5.7,9.224,0,0,2026-08-31
SKU-0079,WH-BTM-03,Batam,Medical Supplies,C,SUP-007,25.19,32.48,28,5.8,2.43,1.941,582,448,1,6.0,12,3.88,70,68,81,501,454,seasonal_index,9.6,9.6,1.996,0,0,2026-08-31
SKU-0080,WH-BTM-03,Batam,FMCG Household,B,SUP-006,2.16,4.38,12,1.6,68.252,50.903,15673,9236,0,0.0,0,0.33,2252,1512,880,9113,8243,combination,16.7,16.7,48.185,0,0,2026-08-31
SKU-0081,WH-BTM-03,Batam,Automotive Parts,C,SUP-035,19.45,32.81,46,15.6,4.419,3.419,930,608,4,12.5,204,3.0,73,120,226,769,696,combination,3.2,-3.2,3.801,0,0,2026-08-31
SKU-0082,WH-BTM-03,Batam,Industrial Components,B,SUP-012,24.55,38.78,38,5.2,19.885,13.6,3757,1136,3,17.0,996,3.78,457,582,863,1453,1315,seasonal_index,23.7,23.7,12.435,0,0,2026-08-31
SKU-0083,WH-BTM-03,Batam,FMCG Household,C,SUP-031,0.53,0.71,14,3.2,72.97,41.679,18148,10397,0,0.0,0,0.15,2091,1762,1077,13976,12641,combination,13.0,13.0,41.357,0,0,2026-08-31
SKU-0084,WH-BTM-03,Batam,Consumer Electronics,A,SUP-006,22.29,48.49,27,4.0,111.096,72.258,22341,1903,3,6.3,2277,3.43,2613,3865,4085,3606,3262,seasonal_index,3.0,-3.0,70.94,0,1,2026-08-31
SKU-0085,WH-BTM-03,Batam,Consumer Electronics,A,SUP-012,45.67,71.61,33,3.9,24.241,14.434,5112,0,2,4.0,139,7.03,856,862,1054,1177,1064,combination,18.0,-18.0,11.192,0,1,2026-08-31
SKU-0086,WH-BTM-03,Batam,Consumer Electronics,C,SUP-012,41.86,78.35,32,4.8,2.132,1.737,469,225,0,0.0,0,6.45,93,71,91,364,330,seasonal_index,34.6,34.6,1.718,0,0,2026-08-31
SKU-0087,WH-BTM-03,Batam,FMCG Household,C,SUP-012,4.13,5.69,15,1.7,31.282,16.927,7401,371,0,0.0,0,0.64,714,913,565,4430,4007,seasonal_index,19.1,19.1,17.065,0,1,2026-08-31
SKU-0088,WH-BTM-03,Batam,Medical Supplies,C,SUP-027,17.51,40.36,20,2.7,3.704,2.907,981,596,0,0.0,0,2.7,93,89,81,742,671,combination,8.9,8.9,3.011,0,0,2026-08-31
SKU-0089,WH-BTM-03,Batam,Consumer Electronics,B,SUP-037,33.26,46.47,31,6.9,9.732,5.624,2001,825,2,4.5,68,5.12,313,339,388,874,790,combination,1.1,1.1,4.078,0,0,2026-08-31
SKU-0090,WH-BTM-03,Batam,Medical Supplies,A,SUP-037,21.04,29.71,26,6.8,85.696,42.045,19780,3216,0,0.0,0,3.24,3534,2920,2865,3259,2948,combination,2.6,-2.6,39.869,0,0,2026-08-31
SKU-0091,WH-BTM-03,Batam,Consumer Electronics,A,SUP-030,56.68,120.4,35,4.3,33.09,23.683,5304,0,5,10.8,2092,8.73,746,1266,1693,1234,1116,combination,27.3,-27.3,22.273,0,1,2026-08-31
SKU-0092,WH-BTM-03,Batam,Automotive Parts,C,SUP-009,38.87,86.1,52,10.9,2.175,2.17,484,280,3,2.0,7,5.99,70,64,132,382,345,combination,25.3,-25.3,1.831,0,0,2026-08-31
SKU-0093,WH-BTM-03,Batam,Medical Supplies,C,SUP-039,26.08,37.07,24,5.9,4.551,3.557,1082,218,0,0.0,0,4.02,194,148,147,674,610,seasonal_index,12.0,-12.0,3.545,0,0,2026-08-31
SKU-0094,WH-BTM-03,Batam,Industrial Components,B,SUP-022,31.15,50.99,39,6.2,9.91,7.843,1964,460,4,11.5,476,4.8,195,284,442,910,824,combination,1.9,1.9,7.139,0,0,2026-08-31
SKU-0095,WH-BTM-03,Batam,Industrial Components,C,SUP-022,34.2,66.29,31,6.0,2.43,2.536,569,291,7,2.0,42,5.27,54,69,96,430,389,combination,6.6,-6.6,2.774,0,0,2026-08-31
SKU-0096,WH-BTM-03,Batam,Automotive Parts,C,SUP-029,10.36,22.34,54,6.4,2.11,2.082,438,455,6,3.3,74,1.6,59,55,126,728,658,combination,49.1,49.1,2.225,0,0,2026-08-31
SKU-0097,WH-BTM-03,Batam,Industrial Components,B,SUP-031,29.37,45.64,32,5.0,8.89,8.769,2059,256,1,2.0,72,4.52,241,273,382,889,804,seasonal_index,20.5,20.5,9.775,0,1,2026-08-31
SKU-0098,WH-BTM-03,Batam,Consumer Electronics,A,SUP-039,31.2,52.54,31,6.7,80.23,41.665,17512,1255,0,0.0,0,4.8,2885,2680,3109,2591,2343,combination,2.1,-2.1,37.059,0,1,2026-08-31
SKU-0099,WH-BTM-03,Batam,Consumer Electronics,A,SUP-024,37.42,72.95,32,11.1,18.416,10.894,4532,480,3,5.7,378,5.76,593,463,599,1133,1025,combination,19.4,19.4,11.262,0,1,2026-08-31
SKU-0100,WH-BTM-03,Batam,Apparel & Textiles,C,SUP-025,9.57,18.52,31,10.8,0.468,0.732,103,17,0,0.0,0,1.47,9,20,26,358,323,combination,39.4,-39.4,0.617,1,1,2026-08-31
SKU-0101,WH-BTM-03,Batam,Apparel & Textiles,B,SUP-030,13.61,27.32,27,9.3,13.296,8.798,3485,1247,1,5.0,69,2.1,452,218,268,1594,1442,seasonal_index,41.6,41.6,8.349,0,0,2026-08-31
SKU-0102,WH-BTM-03,Batam,Automotive Parts,B,SUP-011,51.28,89.21,36,7.4,3.537,2.382,793,403,4,4.5,77,7.9,95,94,138,424,384,seasonal_index,5.5,-5.5,2.463,0,0,2026-08-31
SKU-0103,WH-BTM-03,Batam,Industrial Components,C,SUP-013,13.38,18.02,44,5.3,11.479,7.662,2782,30,0,0.0,0,2.06,448,399,646,1496,1353,holt_winters,3.8,-3.8,5.593,0,1,2026-08-31
SKU-0104,WH-BTM-03,Batam,Apparel & Textiles,A,SUP-026,10.59,23.3,32,5.8,59.181,46.551,13131,0,3,13.3,2854,1.63,1566,1710,2326,3818,3454,seasonal_index,9.7,-9.7,53.918,0,1,2026-08-31
SKU-0105,WH-BTM-03,Batam,FMCG Household,C,SUP-003,3.27,6.98,9,1.4,1.6,1.521,376,1158,0,0.0,0,0.5,42,49,22,1133,1025,combination,20.1,-20.1,1.483,0,0,2026-08-31
SKU-0106,WH-BTM-03,Batam,Automotive Parts,C,SUP-013,21.29,43.21,48,5.0,2.641,2.393,570,26,4,3.2,46,3.28,90,76,150,569,514,combination,32.1,32.1,2.417,0,1,2026-08-31
SKU-0107,WH-BTM-03,Batam,Medical Supplies,C,SUP-029,5.1,6.85,20,2.5,19.775,11.741,5038,1412,0,0.0,0,0.79,705,585,483,3170,2868,combination,3.7,3.7,12.666,0,0,2026-08-31
SKU-0108,WH-BTM-03,Batam,Industrial Components,C,SUP-040,4.47,6.33,45,9.6,1.885,1.955,466,961,2,2.5,16,0.69,63,78,138,1047,947,combination,35.9,-35.9,1.877,0,0,2026-08-31
SKU-0109,WH-BTM-03,Batam,Consumer Electronics,A,SUP-021,49.75,97.11,25,4.6,74.86,42.526,13867,0,5,5.4,2025,7.66,1458,2147,2105,1981,1792,snaive,25.2,-25.2,38.43,0,1,2026-08-31
SKU-0110,WH-BTM-03,Batam,Apparel & Textiles,C,SUP-016,7.47,9.68,27,3.9,21.948,16.293,5451,2483,1,3.0,56,1.15,750,931,985,2768,2504,combination,1.8,1.8,17.237,0,0,2026-08-31
SKU-0111,WH-BTM-03,Batam,Medical Supplies,A,SUP-018,26.64,62.32,18,5.0,24.416,15.742,6054,171,0,0.0,0,4.1,580,710,554,1546,1399,seasonal_index,15.4,15.4,18.331,0,1,2026-08-31
SKU-0112,WH-BTM-03,Batam,Consumer Electronics,B,SUP-028,32.57,50.56,28,5.3,7.027,4.696,1879,315,1,3.0,29,5.02,226,152,187,750,678,combination,42.5,42.5,5.203,0,0,2026-08-31
SKU-0113,WH-BTM-03,Batam,Industrial Components,A,SUP-022,38.21,73.33,36,11.3,9.879,8.34,1919,0,5,7.8,295,5.88,209,265,379,821,743,combination,24.3,24.3,6.258,0,1,2026-08-31
SKU-0114,WH-BTM-03,Batam,Automotive Parts,B,SUP-001,24.34,52.86,48,7.7,10.178,6.958,2011,806,3,9.3,230,3.75,341,260,488,1044,944,snaive,0.3,0.3,6.315,0,0,2026-08-31
SKU-0115,WH-BTM-03,Batam,Consumer Electronics,A,SUP-022,50.65,79.4,27,6.3,15.121,9.473,3731,10,3,6.0,296,7.8,382,451,496,882,798,seasonal_index,17.6,17.6,10.51,0,1,2026-08-31
SKU-0116,WH-BTM-03,Batam,FMCG Household,C,SUP-017,0.81,1.22,11,1.6,26.37,15.714,5902,3560,0,0.0,0,0.15,584,750,354,8401,7599,combination,26.9,26.9,14.437,0,0,2026-08-31
